label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
met,a,584,2,0,0,NaN,0,0.081055,0.084473,0.000000,128.000,1.000000,0.000000,259688793,2,0,1835008,1835008
met,a,594,2,0,0,NaN,0,0.211182,0.322266,0.000000,128.000,1.000000,0.000000,259688793,2,0,1835008,1835008
met,a,599,1,0,0,NaN,0,0.131348,0.131348,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,583,1,0,0,NaN,0,0.162598,0.162598,0.000000,124.000,0.000000,0.000000,259688793,1,0,921600,921600
met,a,595,1,0,0,NaN,0,0.240234,0.240234,0.000000,128.000,0.000000,1.000000,259688793,1,0,966656,917504
met,a,596,1,0,0,NaN,0,0.255859,0.255859,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,608,3,0,0,NaN,0,0.156413,0.302734,0.000000,128.000,1.000000,0.333333,259688793,3,0,2752512,2752512
met,a,604,1,0,0,NaN,0,0.328613,0.328613,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,612,1,0,0,NaN,0,0.344238,0.344238,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,588,1,0,0,NaN,0,0.359863,0.359863,0.000000,128.000,0.000000,1.000000,259688793,1,0,921600,917504
met,a,590,1,0,0,NaN,0,0.375488,0.375488,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,617,1,0,0,NaN,0,0.391113,0.391113,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,597,1,0,0,NaN,0,0.406738,0.406738,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
met,a,600,1,0,0,NaN,0,0.458984,0.458984,0.000000,84.000,0.000000,0.000000,259688793,1,0,962560,962560
met,a,622,1,0,0,NaN,0,0.453613,0.453613,0.000000,44.000,0.000000,0.000000,259688793,1,0,1003520,1003520
met,a,603,1,0,0,NaN,0,0.469238,0.469238,0.000000,128.000,0.000000,0.000000,259688793,1,0,917504,917504
