# lith prefetch trace; block_size=8388608 max_readahead=223 parts_max=67108864 small_file=4194304 coverage_window=16 coverage_min=0.5 evidence_ratio=0
fh,pid,key,off,len,blk,gap,path,state_before,state_after,window,dispatched,peak_window
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,74121216,65536,8,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,81461248,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,88801280,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,96141312,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,103481344,65536,12,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,110821376,65536,13,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,6422528,65536,0,-104464384,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,13762560,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,21102592,65536,2,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,28442624,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,35782656,65536,4,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,43122688,65536,5,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,50462720,65536,6,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,57802752,65536,6,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,65142784,65536,7,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,72482816,65536,8,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,79822848,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,87162880,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,94502912,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,101842944,65536,12,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,109182976,65536,13,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,4784128,65536,0,-104464384,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,12124160,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,19464192,65536,2,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,26804224,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,34144256,65536,4,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,41484288,65536,4,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,48824320,65536,5,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,56164352,65536,6,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,63504384,65536,7,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,70844416,65536,8,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,78184448,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,85524480,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,92864512,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,100204544,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,107544576,65536,12,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,3145728,65536,0,-104464384,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,10485760,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,17825792,65536,2,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,25165824,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,32505856,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,39845888,65536,4,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,47185920,65536,5,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,54525952,65536,6,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,61865984,65536,7,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,69206016,65536,8,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,76546048,65536,9,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,83886080,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,91226112,65536,10,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,98566144,65536,11,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,105906176,65536,12,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,1507328,65536,0,-104464384,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,8847360,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,16187392,65536,1,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,23527424,65536,2,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,30867456,65536,3,7274496,window,random,random,0,0,0
1,448387,HEMCO/AEIC/v2015-01/AEIC.nc,38207488,65536,4,7274496,window,random,random,0,0,0
