label,arm,fh,rows,dispatched_bytes,used_bytes,byte_follow_through,replay_mismatches,mean_abs_gap_blocks,max_abs_gap_blocks,frac_large_gap,mean_read_kib,frac_monotonic,frac_straddle,obj_size,cold_first_run_reads,cold_reentry_reads,cold_net_waste_bytes,cold_gross_waste_bytes
hemco,b,36796,31,0,0,NaN,0,3.272827,22.941895,0.250000,113.000,1.000000,0.125000,295549766,2,0,1531904,1957888
hemco,b,36816,12,0,0,NaN,0,1.324707,10.597656,0.125000,128.000,1.000000,0.125000,217077533,12,0,1572864,2752512
hemco,b,36798,19,0,0,NaN,0,1.696960,13.575684,0.125000,128.000,1.000000,0.125000,295977088,19,0,655360,2752512
hemco,b,36818,11,0,0,NaN,0,2.020996,16.167969,0.125000,128.000,1.000000,0.125000,274708820,11,0,745472,1835008
hemco,b,36786,22,0,0,NaN,0,2.170593,17.364746,0.125000,128.000,1.000000,0.125000,295549766,22,0,1310720,3670016
hemco,b,36808,22,0,0,NaN,0,2.625671,19.070312,0.250000,113.000,1.000000,0.000000,295549766,2,0,1093632,1957888
hemco,b,36807,23,0,0,NaN,0,2.112610,14.520996,0.250000,112.500,1.000000,0.125000,260485429,2,0,1265664,1961984
hemco,b,36802,8,0,0,NaN,0,0.997559,2.494141,0.625000,122.500,0.857143,0.125000,56195851,3,0,2666496,2797568
hemco,b,36830,22,0,0,NaN,0,2.070190,16.561523,0.125000,128.000,1.000000,0.125000,260485429,22,0,1343488,3702784
hemco,b,36844,21,0,0,NaN,0,2.632080,21.056641,0.125000,128.000,1.000000,0.125000,295976487,21,0,475136,2752512
hemco,b,36846,1,0,0,NaN,0,19.198242,19.198242,1.000000,112.000,0.000000,0.000000,217365014,1,0,933888,933888
hemco,b,36824,7,0,0,NaN,0,3.613421,24.758789,0.142857,105.143,1.000000,0.142857,216691306,7,0,1417216,1961984
hemco,b,36804,30,69057350,0,0.000000,1,3.215088,25.720703,0.125000,128.000,1.000000,0.125000,295549766,19,0,802816,3670016
hemco,b,36836,20,0,0,NaN,0,1.690186,11.488281,0.250000,113.000,1.000000,0.125000,295549766,2,0,1228800,1957888
hemco,b,36828,30,69484672,0,0.000000,1,3.221680,25.773438,0.125000,128.000,1.000000,0.125000,295977088,16,0,196608,2752512
