#src	how	bytes	path
hemco	exact	5924881	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_NOx_2005-2100_23474.nc
hemco	exact	5900713	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_SO2_2005-2100_27424.nc
hemco	exact	5891307	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_SO2_2005-2100_43533.nc
hemco	exact	5851286	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_CO_2005-2100_43533.nc
hemco	exact	5811213	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_CH4_2005-2100_27424.nc
hemco	exact	5777382	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_CO_2005-2100_23474.nc
hemco	exact	5776580	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_toluene_2005-2100_43533_kgC.nc
hemco	exact	5776238	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_hexanes_and_higher_alkanes_2005-2100_43533_kgC.nc
hemco	exact	5775281	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_benzene_2005-2100_43533_kgC.nc
hemco	exact	5774421	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_SO2_2005-2100_43190.nc
hemco	exact	5773937	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_ethene_2005-2100_43533_kgC.nc
hemco	exact	5770068	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_ethene_2005-2100_27424_kgC.nc
hemco	exact	5769054	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_xylene_2005-2100_43533_kgC.nc
hemco	exact	5767936	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_hexanes_and_higher_alkanes_2005-2100_27424_kgC.nc
hemco	exact	5766682	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_propene_2005-2100_43533_kgC.nc
hemco	exact	5759883	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_propene_2005-2100_27424_kgC.nc
hemco	exact	5759824	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_ethene_2005-2100_23474_kgC.nc
hemco	exact	5756996	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_benzene_2005-2100_27424_kgC.nc
